1, Coral Reefs, 29, Northern Salado, Rubber fig Salix caprea Adansonia digitata Quercus serrata Neem Tree Black locust, Mount Morgan, Hidden Lakes Circle C Dam Faucherie Lake Granite Lakes
12, Temperate Deserts and Semi-Deserts, 42, Brahmaputra–Tsangpo, European beech Bay laurel Pistachio European ash Montezuma cypress White oak Magnolia kobus Silver birch Weeping willow Quercus serrata Coconut Eastern white pine Blue spruce Curry tree, Mount Whitney, Williamson No. 3 Lake Naz Pee Wee Lake Pioneer Basin Lakes Fishermans Lake
13, Lakes and Reservoirs, 51, Lerma - Rio Grande de Santiago, European ash Papaya Papaya Tasmanian blue gum Eastern black walnut Clove Giant sequoia Indian gooseberry Magnolia kobus Southern magnolia, Mount Saint Elias, Sinaloa Lake Murphy Pond Evelyn Lake Hilton Lake #2
14, Field Crop Ecosystems, 23, Vaal, True cinnamon tree Montezuma cypress Brazil nut Black locust Camphor tree Coast redwood, Crestone Peak, Crater Lake 4-Q Lakes Volcanic Lakes Humphreys Lakes Guadalupe Reservoir
15, Managed Grasslands, 15, Daugava, Tea plant True cinnamon tree Quercus ilex Neem Tree Blue spruce Weeping willow Pará rubber tree Giant sequoia Eastern white pine Silver birch Quercus serrata European ash, North Palisade, Goethe Basin No.3 Reservoir N Davis Lakes Summit Lake
16, Mires: Swamp, Bog, Fen, and Moor, 16, Pilcomayo, Tilia cordata English walnut Bay laurel Silver maple Eastern white pine Montezuma cypress Banyan Star magnolia Blue spruce Adansonia digitata Star magnolia Quercus suber, Maroon Peak, Canyon Creek Lakes Kerckhoff Lake Jackass Lakes Upper Lamarck Lake Tule Lake Shelly Lake
17, Temperate Deserts and Semi-Deserts, 5, Congo–Chambeshi, Tree of heaven Adansonia digitata Weeping willow Cacao tree Banyan Black locust European ash Curry tree English oak Coconut Cacao tree Pará rubber tree Ginkgo Papaya, Mauna Kea, Topsy Turvy Lake Silva Flat Reservoir Porphyry Lake
18, Marine Ecosystems, 10, Fly, Bay laurel Ginkgo Brazil nut Banyan Coast redwood Quercus suber, , Jigger Lakes Hello Lake Boggs Reservoir Hoover Lakes 1
19, Ecosystems of the Continental Shelves, 47, Lena, Black locust Tree of heaven Pecan Banyan Tea plant Silver maple Black locust Southern magnolia Coconut Pistachio, Windom Peak, Slattery Pond Wire Lakes Dry Lake Mud Lake
20, Polar and Alpine Tundra, 61, (Yili), Coconut American sycamore Clove Quercus suber Clove Northern Red Oak European ash Ginkgo Quercus ilex White oak Brazil nut, Grizzly Peak, Lake Jane Reservoir Wonder Lakes Twin Lakes Grimshaw Lake Ford Dry Lake
21, Field Crop Ecosystems, 42, Desna, Bristlecone pine Papaya American sycamore European beech Quercus acutissima English walnut Star magnolia Neem Tree Montezuma cypress, Mount Cook, Stanford Lakes Huysink Lake Lake Zitella McGee No. 6
22, Estuaries and Enclosed Seas, 15, Ob–Irtysh, Magnolia kobus Adansonia digitata Bristlecone pine Indian gooseberry English walnut Black locust Coast redwood Northern Red Oak Tea plant Eastern black walnut, Jacque Peak, Shamrock Lake Arrowhead Lake Shellenbarger Lake
23, Coniferous Forests, Temperate Deciduous Forests, 28, Colorado (western U.S.), Eastern black walnut Weeping willow Camphor tree English walnut Quercus suber Montezuma cypress Silver maple Rubber fig American sycamore Camphor tree Neem Tree Tea plant, (Fairweather Mountain)Mount Evans, Nelson Lakes Espa Lagoon Swamp Lakes Little George Lake
24, Estuaries and Enclosed Seas, 50, Arkansas, Quercus suber Eastern black walnut Quercus ilex Star magnolia Pará rubber tree Bay laurel Clove Tree of heaven Montezuma cypress Star magnolia, Mount Sanford, Silver Lake Widow Lake Lake Oroville
25, Wetland Forests, 42, Dniester, Silver birch Breadfruit Camphor tree European beech Banyan Clove English walnut Curry tree Blue spruce Eastern white pine, Mount Herard, Boggs Lake Lost Keys Lake 4 Volcanic Lakes
26, Inland Aquatic Ecosystems, 52, Draa, Rubber fig White oak Banyan Tea plant Breadfruit Tasmanian blue gum Banyan Weeping willow European beech Banyan Pecan, Mount Wrangell, Big Dry Lake Chalfant Lakes Marion Lake Maggie Lakes
27, Dry Coastal Ecosystems, 36, Japurá, Blue spruce Tree of heaven Silver maple Rubber fig Adansonia digitata Indian gooseberry Tree of heaven American sycamore Ginkgo Neem Tree, Mount Wrangell, Lost Lakes Nelson Lakes Tiger Creek Regulator Reservoir Roosevelt Lake Taylor Lake Humble Reservoir
28, Wet Coastal Ecosystems, 33, Dnieper, White oak Camphor tree Cacao tree Cacao tree Eastern black walnut Banyan Quercus ilex Giant sequoia Papaya White oak, Atna Peaks, Poonkinny Lake Cedar Flat Emigrant Lake, Middle
29, Heathlands and Related Shrublands, 41, Tobol, Pará rubber tree Banyan European ash Magnolia kobus Eastern black walnut Weeping willow Star magnolia, Mount Bear, Slattery Pond Stratton Reservoir Hores Range Lakes
30, Bioindustrial Ecosystems, 48, Rio Grande, Tasmanian blue gum Pará rubber tree Montezuma cypress Neem Tree English walnut Breadfruit Quercus acutissima Star magnolia English walnut Southern magnolia American sycamore Pistachio, Mount Augusta, Mildred Lakes Stonegate Lake Whites Lagoon
31, Managed Aquatic Ecosystems, 21, Loire, Tilia cordata Pará rubber tree Pistachio Rubber fig Montezuma cypress Pará rubber tree Ginkgo Brazil nut, Antora Peak, Duck Lake Teal Lake Loney Lake Black Butte Lake
32, Coniferous Forests, Temperate Deciduous Forests, 54, (Zaïre), Eastern black walnut European beech Breadfruit Brazil nut Bristlecone pine Papaya, Mount Yale, Dana Lake #2 Cannon Tank Clark Lake #1 Saddle Lake, Lower Log Pond Four Lakes
33, Mediterranean-Type Shrublands, 8, Ob–Irtysh, American sycamore Weeping willow Coconut Brazil nut Neem Tree Coconut Quercus acutissima Breadfruit Giant sequoia Salix caprea Adansonia digitata, Uncompahgre Peak, Whiskeytown Lake Soto Lake Shinn Pond Pioneer Basin Lakes Josephine Lake
34, Temperate Deserts and Semi-Deserts, 35, Aras, Quercus acutissima Pará rubber tree Eastern white pine Banyan Coast redwood Nutmeg, Blanca Peak, Rex Reservoir Chinquapin Lakes 1 Pioneer Basin Lakes Pioneer Basin Lakes Forbidden Lakes Blackbird Lake
35, Temperate Deserts and Semi-Deserts, 54, Aras, Northern Red Oak Black locust Nutmeg Rubber fig Pará rubber tree Ginkgo White oak Silver birch Pecan Montezuma cypress, Capitol Peak, Kramer Reservoir Laguna Lake South Fork Lake, Lower
36, Managed Grasslands, 59, Yellowstone, Rubber fig Adansonia digitata Bay laurel Weeping willow Tasmanian blue gum Black locust Magnolia kobus, Capitol Peak, Hilton Creek Lakes Sharktooth Lake Little Lakes Towhead Lake Sweasey Lake Baboon Lakes
37, Greenhouse Ecosystems, 39, Don, Ginkgo Silver maple Indian gooseberry Eastern black walnut True cinnamon tree Silver birch Tilia cordata Pará rubber tree Pistachio Tea plant True cinnamon tree Northern Red Oak, , Secret Lake Contury Reservoir Lower Russian Lake
38, Natural Grasslands, 15, Draa, Tilia cordata Star magnolia Eastern black walnut Banyan Coconut Coast redwood Pistachio Quercus serrata Eastern black walnut, Mount Williamson, Clark Lakes Emma Lake Proctor Lake Lost Lake Ram Lake Primrose Lake
39, Marine Ecosystems, 6, Purús, Brazil nut Eastern black walnut Silver birch Blue spruce Tree of heaven Tasmanian blue gum Sycamore maple Black locust Star magnolia True cinnamon tree English oak, Mount Oso, Yuba Reservoir East Lake Halfmoon Tarns
40, Inland Aquatic Ecosystems, 3, Oka, Weeping willow Ginkgo True cinnamon tree Brazil nut English oak, Henry Mountain, The Lagoon Backbone Lake Lake Eleanor Foster Lake Bench Lakes Suttonfield Lake
41, Dry Coastal Ecosystems, 55, Helmand, Quercus acutissima Quercus acutissima Pistachio English oak Bristlecone pine Nutmeg Bay laurel Pecan Coast redwood, (Boundary Point 180)Middle Peak, Amel Lake Caldwell Lakes Bear Lake Ritter Lakes
42, Marine Ecosystems, 60, Indigirka, Neem Tree Quercus suber Northern Red Oak Coast redwood Giant sequoia Pará rubber tree English walnut Papaya Curry tree Coconut Eastern black walnut Tasmanian blue gum White oak, Mount Herard, Glacier Lakes Satellite Lake Rancho Cielito
43, Managed Aquatic Ecosystems, 15, Milk, Quercus ilex Magnolia kobus Camphor tree Black locust American sycamore Star magnolia Indian gooseberry Papaya Giant sequoia Northern Red Oak White oak American sycamore, Pikes Peak, Blacks Lake Glen Lake Herring Creek Reservoir Ralph Clark Regional Park Lake Pacheco Lake
44, Marine Ecosystems, 31, Niger, Quercus ilex Southern magnolia Quercus serrata Ginkgo Northern Red Oak Pecan Brazil nut Eastern black walnut White oak Southern magnolia Southern magnolia, Mount Fairweather, San Pablo Reservoir Hayfield Lake 4-Q Lakes 4 Lower Turret Lakes
45, Inland Aquatic Ecosystems, 60, Purús, Banyan Salix caprea Adansonia digitata Southern magnolia Neem Tree, Mount Hayes, Hooligan Lake Spiller Lake Copper Basin Reservoir Angora Lakes Parker Pass Lake Sweasey Lake
46, Intertidal and Littoral Ecosystems, 19, Guaporé (Itenez), Neem Tree Pará rubber tree Coconut Rubber fig Black locust Coconut Salix caprea Camphor tree Quercus acutissima Silver birch Bay laurel Pará rubber tree, University Peak, Marmot Lake Wonder Lakes Leonard Johnson Dam Pomponio Reservoir Lily Lake Spring Creek Reservoir
47, Coniferous Forests, Temperate Deciduous Forests, 37, Danube–Breg, Breadfruit Giant sequoia Coconut Tasmanian blue gum Quercus serrata, Mount Oso, Holcomb Lake Stanford Lakes Sugar Pine Reservoir Upper Horton Lakes Lindsey Lakes
48, Wetland Forests, 56, Daugava, Bay laurel Bristlecone pine Brazil nut Weeping willow European beech English oak, Pikes Peak, Highland Lakes Ramer Lake Rubicon Lake Givens Lake Big Elk Lake Mud Lake
49, Mires: Swamp, Bog, Fen, and Moor, 38, Río Grande (Guapay), Adansonia digitata Banyan European ash Black locust English oak Tree of heaven Ginkgo Coconut, Bennett Peak, Van Sickle Lake Essex Reservoir Gassaway Reservoir Barley Lake O'Neill Forebay Government Lake
50, Lakes and Reservoirs, 43, Godavari, Tasmanian blue gum European ash Weeping willow Southern magnolia Tilia cordata American sycamore Star magnolia, Mount Natazhat, Rust Lake Hores Range Lakes Big Five Lakes Big Island Lake Blue Lake, Lower
51, Coral Reefs, 61, Nile – Kagera, Tree of heaven Quercus acutissima Montezuma cypress Cacao tree Sycamore maple Star magnolia, Mount Sanford, Hidden Valley Pond Lake Annie Sifford Lakes Lost Valley Saucer Lake
52, Coniferous Forests, Temperate Deciduous Forests, 56, Juruena, Pecan Pecan Adansonia digitata Tilia cordata American sycamore Rubber fig Southern magnolia Giant sequoia Nutmeg Ginkgo Eastern black walnut, Mount Jarvis, Sindicich Lagoons Kunkle Reservoir Blossom Lakes Claire, Big Mineral Lakes
53, Field Crop Ecosystems, 45, Aldan, Neem Tree Blue spruce True cinnamon tree Salix caprea Neem Tree Giant sequoia Banyan Indian gooseberry Silver birch Pecan Silver birch, Mount Sneffels, Five Lakes, Little Toms Lake Morongo Lakes
54, Coniferous Forests, Temperate Deciduous Forests, 39, K?z?l River, English walnut Papaya Tea plant True cinnamon tree Northern Red Oak Pistachio Coconut Tilia cordata Brazil nut European ash Weeping willow Quercus ilex, Mauna Kea, West Lakes Gem Lake, Middle Lakes Basin Lost Lakes Bear Gulch Reservoir
55, Intertidal and Littoral Ecosystems, 20, Volta, Northern Red Oak Sycamore maple Camphor tree Banyan Eastern white pine Bristlecone pine Giant sequoia Banyan Neem Tree Salix caprea Bay laurel Bristlecone pine American sycamore Clove, White Mountain Peak, Lake Oroville Quien Sabe No. 1 Grouse Lake Grizzly Stadium Pond Burro Lake Eleanor, Lake
56, Tropical Savannas, 46, Ohio–Allegheny, Silver birch Silver maple Pecan Sycamore maple Ginkgo Tea plant Montezuma cypress Pistachio Silver maple Bristlecone pine Pará rubber tree, Parry Peak, Glacier Lakes Chinquapin Lakes Coon Lake
57, Hot Deserts and Arid Shrublands, 25, Pearl – Zhu Jiang, Montezuma cypress Star magnolia Camphor tree European beech Cacao tree Neem Tree Quercus suber Adansonia digitata Tasmanian blue gum, Castle Peak, Sherwin Lakes Dumbell No. 3 Wahoo Lakes Baboon Lake, Lower Doe Lake Kern-Kaweah No.6
58, Ecosystems of the Continental Shelves, 52, Mtkvari (Kura), Neem Tree Bay laurel Tilia cordata Pará rubber tree Quercus suber Clove Adansonia digitata, Bard Peak, Lake Stockton Lone Lake Goose Pond Hammil Lake
59, Coral Reefs, 3, Kuskokwim, Silver birch White oak Tree of heaven Cacao tree Banyan True cinnamon tree Coast redwood Ginkgo Southern magnolia Eastern black walnut, Mount Saint Elias, White Rock Lake Diederich Coyote Lake Treasure Lakes Greenstone Lake Little Lakes
60, Bioindustrial Ecosystems, 1, Oka, Silver birch Cacao tree Black locust Coconut Indian gooseberry Pecan Quercus ilex Coconut Quercus ilex Quercus suber, Regal Mountain, Beardsley Afterbay Hidden Lake Wallace Creek No. 5
61, Estuaries and Enclosed Seas, 46, Loire, Breadfruit Banyan Northern Red Oak Star magnolia Weeping willow Clove Pará rubber tree Giant sequoia Adansonia digitata Giant sequoia Brazil nut, Mount Jarvis, Chevaux Lake Big Water Lake Mildred Lakes Hellhole Lake Gray Rock Lake, Upper Big Lake
62, Mediterranean-Type Shrublands, 33, Vitim, Quercus suber Pistachio Eastern white pine Quercus serrata Quercus suber Bay laurel European beech Tasmanian blue gum Rubber fig Coconut, Mount Hunter, Pendant Lake Ross 2 Reservoir Emerald Lakes
63, Temperate Broad-Leaved Evergreen Forests, 20, Ghaghara, Southern magnolia Coconut Quercus suber English walnut White oak Nutmeg Silver maple Papaya Coconut, Mount Powell, Minnow Lake Independence Lake Black Hawk Lake Hidden Lake
64, Lakes and Reservoirs, 49, Tietê, Brazil nut Northern Red Oak Adansonia digitata Coconut True cinnamon tree Rubber fig, Sultan Mountain, Lake Orth Rising River Lake Wades Lake Tallac Lake
65, Coral Reefs, 5, Aruwimi, Black locust Indian gooseberry Salix caprea Quercus serrata Pará rubber tree Eastern white pine Curry tree Cacao tree Rubber fig, Mount Hunter, Chain Lakes Heather Lake Fall River Lake Rainbow Lake Marsh Lake
66, Marine Ecosystems, 61, Kwango, Blue spruce Clove Indian gooseberry Tree of heaven Sycamore maple, Mount Pinchot, Rager Reservoir El Casco Lake Eagle Lakes
67, Dry Coastal Ecosystems, 5, Vychegda, Indian gooseberry Papaya Silver maple European beech Quercus serrata Giant sequoia Rubber fig Salix caprea, Mount of the Holy Cross, Haven Lake Mineral Lakes Lambert Lake Clark Lakes Wonder Lakes Convict Lake
68, Bioindustrial Ecosystems, 20, Gila, Cacao tree Tree of heaven Sycamore maple Quercus suber Breadfruit Bay laurel Salix caprea Clove, Grays Peak, Kidd Lake Chalfant Lakes Ruth Lake Blue Jay Lakes Turk Lake
69, Managed Aquatic Ecosystems, 29, (Rio Paraguay), European ash Coast redwood Silver maple Star magnolia Star magnolia, Hesperus Mountain, Alger Lakes Wine Reservoir F Marysville Lake Quarry Lakes Murken Lake
70, Managed Aquatic Ecosystems, 45, James (Dakotas), Clove Brazil nut Coconut Silver maple Pistachio Eastern white pine Papaya, Bennett Peak, Rucker Lake Weber Lake Bay Street Reservoir
71, Greenhouse Ecosystems, 30, Belaya, Eastern white pine Montezuma cypress Northern Red Oak Breadfruit White oak Pecan Papaya, Regal Mountain, Barton Lake Lake Margery Vandeburg Lake Laguna Reservoir Mirror Lake Fraser Lakes
72, Marine Ecosystems, 44, Rhine, European beech Clove Sycamore maple Bristlecone pine True cinnamon tree, Mount Bona, Ferguson Meadows No. 1 Lee Lake Wolf Lake Loch Leven Lakes Weeks Lake
73, Temperate Broad-Leaved Evergreen Forests, 45, Essequibo, Quercus suber Brazil nut Curry tree True cinnamon tree Pecan Quercus acutissima Papaya Quercus serrata American sycamore Northern Red Oak, White Mountain Peak, Sheep Camp Lakes Cora Lake Covington Lake Ireland Lake
74, Natural Grasslands, 35, Saint Lawrence – Niagara – Detroit – Saint Clair – Saint Marys – Saint Louis, Bay laurel Blue spruce Quercus ilex Salix caprea Northern Red Oak Pará rubber tree Weeping willow English walnut Southern magnolia, Mount Foraker, Pioneer Lake #1 Dusy Basin No. 2 Cuddeback Lake Five Lakes Basin Summit Lake
75, Greenhouse Ecosystems, 31, Negro, Magnolia kobus Breadfruit Quercus ilex Bay laurel Coast redwood Cacao tree English oak White oak Breadfruit White oak Cacao tree Tasmanian blue gum, West Buffalo Peak, Little Doris Lake Lake Lower Treasure Lake #3 Agnew Meadows Latopie Lake Raker and Thomas Reservoirs
76, Dry Coastal Ecosystems, 45, Aldan, Cacao tree Silver birch Quercus acutissima Northern Red Oak Eastern black walnut Pecan Black locust Star magnolia Tilia cordata Star magnolia Rubber fig Eastern black walnut Pará rubber tree True cinnamon tree, Henry Mountain, Cottonball Basin South Fork Lake, Lower Steelhead Lake Leighton Lake Pyramid Lake
77, Managed Terrestrial Ecosystems, 38, Zambezi, Banyan Southern magnolia Rubber fig Eastern black walnut Tree of heaven White oak Brazil nut Adansonia digitata Bay laurel Eastern black walnut, Mount Alverstone, Buck Lakes 2 Olive Hills Reservoir Pinecone Reservoir Summit Lake
78, Polar and Alpine Tundra, 41, Cauca, Salix caprea Black locust Nutmeg Bristlecone pine Rubber fig Star magnolia, Mount Whitney, Hilton Creek Lakes Felt Lake Inconsolable Lake
79, Inland Aquatic Ecosystems, 6, Canadian, Salix caprea European ash Star magnolia English oak Tilia cordata Banyan, Castle Peak, Ambrose Reservoir Anzar Lake Crown Basin Lakes Lost Lakes
80, Tropical Rain Forest Ecosystems, 25, Gambia, Breadfruit Banyan Eastern black walnut Eastern black walnut Indian gooseberry Quercus acutissima, Mount Kaweah, Sphinx Lakes Beardsley Afterbay Van Norden, Lake Happy Lake Lost Lakes Piute Ponds
81, Managed Terrestrial Ecosystems, 18, Içá (Putumayo), Curry tree Northern Red Oak Bristlecone pine Silver birch Cacao tree Star magnolia English walnut Tree of heaven European ash Rubber fig Rubber fig Camphor tree Bristlecone pine, Mount Keith, Granite Park 1 Tunemah Lake Mindego Lake Humphreys Lakes
82, Coniferous Forests, Temperate Deciduous Forests, 18, Colorado (Texas), Giant sequoia Coconut Northern Red Oak Eastern black walnut Star magnolia Southern magnolia Tree of heaven Brazil nut Quercus suber, Mount Pinchot, Castaic Lake Dales Lake Rickey Goethe Lake, Lower Hemlock Lake
83, Lakes and Reservoirs, 41, Madeira–Mamoré–Grande–Caine–Rocha, Breadfruit Weeping willow Tilia cordata White oak True cinnamon tree Weeping willow Tree of heaven, White Mountain Peak, Red Top Lake Gassaway Reservoir Wilson Lake
84, Marine Ecosystems, 31, Sankuru, Quercus suber Banyan Pistachio Bristlecone pine Montezuma cypress, Mount Darwin, Mason Reservoir Lake Anna Wallace Creek No. 11 Milton Reservoir Tom Lee Meadows Foster Lake
85, Managed Grasslands, 2, Vitim, Ginkgo Southern magnolia Pará rubber tree Magnolia kobus Tasmanian blue gum Pará rubber tree Black locust, Bald Mountain, Graveyard Lakes Emerald Lakes Bufflehead Reservoir Jackass Lakes
86, Temperate Broad-Leaved Evergreen Forests, 61, Volta, European beech Pistachio Brazil nut Nutmeg Breadfruit Clove Indian gooseberry, Francs Peak, Lytton Lake Teddy Bear Lake Alpine Lake Snow Lakes Franklin Lake #1 Rosemarie Meadow
87, Aquatic Ecosystems, 13, (Lancang Jiang), Coast redwood American sycamore Breadfruit Silver birch Star magnolia, Kings Peak, Round Lake Lower Peters Canyon Reservoir Halsey Forebay
88, Dry Coastal Ecosystems, 57, Upper Yenisei -- Little Yenisei (Kaa-Hem), Pecan Pará rubber tree Magnolia kobus American sycamore Giant sequoia Indian gooseberry Coast redwood White oak Tilia cordata Southern magnolia Silver maple Tea plant Indian gooseberry Camphor tree, Hesperus Mountain, Lake Palmdale Santa Rosa Creek Reservoir Eagle Lake Bear Wallows Vidette No. 5 River Spring Lakes
89, Managed Terrestrial Ecosystems, 8, Mekong, Curry tree Eastern white pine Brazil nut Tree of heaven Neem Tree Breadfruit Banyan, Mount Princeton, Lincoln Park Lake Santa Margarita Lake Useless Lake
90, Coniferous Forests, Temperate Deciduous Forests, 8, Aras, Coast redwood European beech American sycamore Papaya Nutmeg Tilia cordata Curry tree Brazil nut Breadfruit Eastern black walnut, Vermilion Peak, Secret Lake Tamarack Lakes Madera Lake Beaver Creek Reservoir
91, Field Crop Ecosystems, 33, Snake, Weeping willow Northern Red Oak European ash Rubber fig Rubber fig American sycamore Neem Tree Pistachio Tilia cordata Bay laurel, Antora Peak, Lost Lakes Little Mountain Little Lakes Upper Palisade No. 1 Heart Lake Mirror Lake
92, Managed Aquatic Ecosystems, 47, Han, Ginkgo Indian gooseberry Cacao tree Giant sequoia Brazil nut Southern magnolia Quercus serrata Quercus serrata Silver maple Tree of heaven Blue spruce, Mount Whitney, Lake Berryessa Glen Lake Dorris Brothers Reservoir Burney Lake
93, Mediterranean-Type Shrublands, 53, Senegal, Breadfruit Quercus acutissima Curry tree Salix caprea Brazil nut Salix caprea, , Badger Lakes Swamp Lakes Minaret Lake Blue Lake North Stone Lake Cirque Lake
94, Coniferous Forests, Temperate Deciduous Forests, 46, (Zaïre), Banyan Silver birch Pará rubber tree Adansonia digitata Adansonia digitata Sycamore maple Tilia cordata, Crestone Peak, Smith Lake Mineral Lakes Lake Los Nietos Grizzley Peak Lake, West Upper Emerald Lake Twin Lakes
95, Temperate Deserts and Semi-Deserts, 23, Chindwin, English walnut Weeping willow Eastern white pine Tasmanian blue gum Tree of heaven, Hagues Peak, Jennie Lake Soapstone Pond Nelson Lakes Twin Lake Pond Lily Lake Fox Flat
96, Managed Terrestrial Ecosystems, 25, Khoper, White oak Adansonia digitata English oak Pistachio Pará rubber tree Bristlecone pine Quercus acutissima, Crestone Peak, Lake Valley Reservoir Red Lake Powell Reservoir Lucille Lake Slattery Pond Pulgas Lake
97, Managed Grasslands, 57, Daugava, Coconut Sycamore maple Blue spruce Sycamore maple Bay laurel Quercus serrata Magnolia kobus, Mount Jarvis, Union Reservoir Stienhart Lakes Mirror Lake Clear Lake
98, Natural Grasslands, 48, Syr Darya – Naryn, Eastern white pine American sycamore Silver maple Magnolia kobus Black locust Silver maple Coast redwood Tilia cordata Clove Blue spruce European ash Salix caprea Tea plant, Hesperus Mountain, Foolish Lake Wishbone Lake Ercil Lake Hell Hole Reservoir Hollywood Reservoir
99, Managed Aquatic Ecosystems, 37, Kolyma, Quercus acutissima Adansonia digitata Camphor tree Bay laurel Silver maple Star magnolia Tilia cordata, Uncompahgre Peak, Frog Lakes Bear Lake Rock Lake Midnight Lake Little Medicine Lake
100, Aquatic Ecosystems, 15, Lerma - Rio Grande de Santiago, Nutmeg European beech Tea plant Brazil nut Weeping willow Northern Red Oak, Pikes Peak, Saxonia Lake Owl Lake Shaver Lake Round Lake Corral Eagle Lakes
101, Ecosystems of Disturbed Ground, 60, Negro, Quercus suber Tree of heaven Quercus acutissima Eastern black walnut Salix caprea Curry tree Banyan English oak Banyan Ginkgo Star magnolia, Mount Harvard, Crater Lake Emeric Lake McGee Lake Waca Lake San Justo Reservoir Rager Reservoir
102, Natural Grasslands, 54, Northern Salado, Quercus serrata Ginkgo Quercus acutissima Neem Tree Ginkgo Pará rubber tree European ash Weeping willow Montezuma cypress, Crestone Peak, Lake Theodore Lake Sterling Poore Lake Huckleberry Lake
103, Inland Aquatic Ecosystems, 46, Huallaga, Curry tree Pistachio Papaya Adansonia digitata Cacao tree Tree of heaven Indian gooseberry English oak White oak Montezuma cypress European beech Curry tree European ash European beech, Tressider Peak, Lake Hodges Twain Harte Grouse Lake Tyndall Creek No. 4 Wah Hoo Lake
104, Bioindustrial Ecosystems, 44, Sepik, English walnut Tilia cordata Magnolia kobus Magnolia kobus Pecan Montezuma cypress, Wheeler Peak, Butt Valley Reservoir Lagunas Middle Turret Lakes
105, Estuaries and Enclosed Seas, 1, Shatt al-Arab – Euphrates, Northern Red Oak Tree of heaven Montezuma cypress Pará rubber tree Clove English walnut Tasmanian blue gum Quercus serrata Bristlecone pine Silver birch Montezuma cypress Curry tree Pará rubber tree Tea plant, (Boundary Point 180)Middle Peak, Mud Lakes Diamond Mesa No. 8 Five Lakes Basin Foolish Lake
106, Coniferous Forests, Temperate Deciduous Forests, 17, Shatt al-Arab – Euphrates, Montezuma cypress European ash Rubber fig Bay laurel Giant sequoia American sycamore Pará rubber tree, Mount Augusta, Espa Lagoon Big Waterhole Eagle Lake Little Crater Lake McGrath Lake
107, Aquatic Ecosystems, 6, Aruwimi, Pará rubber tree English oak Bristlecone pine Silver birch Papaya Northern Red Oak Curry tree Bristlecone pine, Capitol Peak, Pine Lake Twin Lakes Whelan Lake Lake Siskiyou
